"zone","area","population","language","religion","bars","stripes","colours","red","green","blue","gold","white","black","orange","mainhue","circles","crosses","saltires","quarters","sunstars","cresecent","triangle","icon","animate","text","topleft","botright","landmass"
"b",648,16,"k","c",0,3,5,"b","b","a","b","b","b","a","green",0,0,"a",0,1,"a","a","b","a","a","black","green","e"
"b",29,3,"g","g",0,0,3,"b","a","a","b","a","b","a","red",0,0,"a",0,1,"a","a","a","b","a","red","red","c"
"b",2388,20,"i","c",2,0,3,"b","b","a","a","b","a","a","green",0,0,"a",0,1,"b","a","a","a","a","green","white","d"
"d",0,0,"b","b",0,0,5,"b","a","b","b","b","a","b","blue",0,0,"a",0,0,"a","b","b","b","a","blue","red","f"
"b",0,0,"g","a",3,0,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","blue","red","c"
"c",1247,7,"k","f",0,2,3,"b","a","a","b","a","b","a","red",0,0,"a",0,1,"a","a","b","a","a","red","black","d"
"e",0,0,"b","b",0,1,3,"a","a","b","a","b","a","b","white",0,0,"a",0,0,"a","a","a","b","a","white","blue","a"
"e",0,0,"b","b",0,1,5,"b","a","b","b","b","b","a","red",0,0,"a",0,1,"a","b","a","a","a","black","red","a"
"d",2777,28,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","b"
"d",2777,28,"c","a",0,3,3,"a","a","b","b","b","a","a","blue",0,0,"a",0,1,"a","a","a","a","a","blue","blue","b"
"c",7690,15,"b","b",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"b",1,6,"a","a","a","a","a","white","blue","f"
"b",84,8,"e","a",0,3,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","red","c"
"e",19,0,"b","b",0,3,3,"a","a","b","b","a","b","a","blue",0,0,"a",0,0,"a","b","a","a","a","blue","blue","a"
"b",1,0,"i","c",0,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","white","red","e"
"b",143,90,"g","c",0,0,2,"b","b","a","a","a","a","a","green",1,0,"a",0,0,"a","a","a","a","a","green","green","e"
"e",0,0,"b","b",3,0,3,"a","a","b","b","a","b","a","blue",0,0,"a",0,0,"a","a","b","a","a","blue","blue","a"
"b",31,10,"g","a",3,0,3,"b","a","a","b","a","b","a","gold",0,0,"a",0,0,"a","a","a","a","a","black","red","c"
"e",23,0,"b","b",0,2,8,"b","b","b","b","b","b","b","blue",1,0,"a",0,0,"a","a","b","b","b","red","red","a"
"b",113,3,"d","f",0,0,2,"b","b","a","a","a","a","a","green",0,0,"a",0,1,"a","a","a","a","a","green","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","b","a","red",1,1,"b",1,0,"a","a","b","b","a","white","red","a"
"b",47,1,"k","d",0,0,4,"b","a","a","a","b","b","b","orange",4,0,"a",0,0,"a","a","a","b","a","orange","red","e"
"d",1099,6,"c","a",0,3,3,"b","b","a","b","a","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","b"
"c",600,1,"k","f",0,5,3,"a","a","b","a","b","b","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","d"
"d",8512,119,"g","a",0,0,4,"a","b","b","b","b","a","a","green",1,0,"a",0,22,"a","a","a","a","b","green","green","b"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","b","blue",0,1,"b",1,0,"a","a","b","b","b","white","blue","a"
"b",6,0,"k","c",0,0,4,"b","a","a","b","b","b","a","gold",0,0,"a",0,0,"a","b","b","b","b","white","gold","e"
"b",111,9,"f","g",0,3,5,"b","b","b","b","b","a","a","red",0,0,"a",0,1,"a","a","b","b","a","white","red","c"
"e",274,7,"d","f",0,2,3,"b","b","a","b","a","a","a","red",0,0,"a",0,1,"a","a","a","a","a","red","green","d"
"b",678,35,"k","d",0,0,3,"b","a","b","a","b","a","a","red",0,0,"a",1,14,"a","a","b","b","a","blue","red","e"
"c",28,4,"k","f",0,0,3,"b","b","a","a","b","a","a","red",1,0,"b",0,3,"a","a","a","a","a","white","white","d"
"b",474,8,"d","b",3,0,3,"b","b","a","b","a","a","a","gold",0,0,"a",0,1,"a","a","a","a","a","green","gold","d"
"e",9976,24,"b","b",2,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","b","a","red","red","a"
"e",4,0,"g","a",1,2,5,"b","b","a","b","a","b","b","gold",0,0,"a",0,1,"a","a","a","b","a","red","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","b","blue",1,1,"b",1,4,"a","a","b","b","b","white","blue","a"
"b",623,2,"k","f",1,0,5,"b","b","b","b","b","a","a","gold",0,0,"a",0,1,"a","a","a","a","a","blue","gold","d"
"b",1284,4,"d","f",3,0,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","blue","red","d"
"d",757,11,"c","a",0,2,3,"b","a","b","a","b","a","a","red",0,0,"a",1,1,"a","a","a","a","a","blue","red","b"
"b",9561,1008,"h","g",0,0,2,"b","a","a","b","a","a","a","red",0,0,"a",0,5,"a","a","a","a","a","red","red","e"
"e",1139,28,"c","a",0,3,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","gold","red","b"
"c",2,0,"d","c",0,0,2,"a","b","a","a","b","a","a","green",0,0,"a",0,4,"b","a","a","a","a","green","green","d"
"c",342,2,"k","f",0,0,3,"b","b","a","b","a","a","a","red",0,0,"a",0,1,"a","a","b","b","a","red","red","d"
"d",0,0,"b","b",0,0,4,"b","a","b","a","b","a","a","blue",1,1,"b",1,15,"a","a","a","a","a","white","blue","f"
"e",51,2,"c","a",0,5,3,"b","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"e",115,10,"c","g",0,5,3,"b","a","b","a","b","a","a","blue",0,0,"a",0,1,"a","b","a","a","a","blue","blue","a"
"b",9,1,"g","b",0,0,3,"a","b","a","b","b","a","a","white",0,0,"a",0,0,"a","a","b","b","a","white","white","c"
"b",128,15,"f","g",0,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","b","a","a","a","white","red","c"
"b",43,5,"g","b",0,0,2,"b","a","a","a","b","a","a","red",0,1,"a",0,0,"a","a","a","a","a","red","red","c"
"b",22,0,"d","c",0,0,4,"b","b","b","a","b","a","a","blue",0,0,"a",0,1,"a","b","a","a","a","white","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","b","a","green",1,0,"a",0,10,"a","a","a","b","a","green","green","a"
"e",49,6,"c","a",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"a",0,0,"a","a","a","a","a","blue","blue","a"
"d",284,8,"c","a",0,3,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","gold","red","b"
"b",1001,47,"i","c",0,3,4,"b","a","a","b","b","b","a","black",0,0,"a",0,0,"a","a","a","b","b","red","black","d"
"e",21,5,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"b",28,0,"k","f",0,3,4,"b","b","b","a","b","a","a","green",0,0,"a",0,0,"a","b","a","a","a","green","red","d"
"b",1222,31,"k","b",0,3,3,"b","b","a","b","a","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","red","d"
"e",1,0,"g","b",0,0,3,"b","a","b","a","b","a","a","white",0,1,"a",0,0,"a","a","a","a","a","white","white","c"
"d",12,0,"b","b",0,0,6,"b","b","b","b","b","a","a","blue",1,1,"b",1,0,"a","a","b","b","b","white","blue","b"
"c",18,1,"b","b",0,0,7,"b","b","b","b","b","a","b","blue",0,2,"b",1,0,"a","a","b","b","a","white","blue","f"
"b",337,5,"j","b",0,0,2,"a","a","b","a","b","a","a","white",0,1,"a",0,0,"a","a","a","a","a","white","white","c"
"b",547,54,"d","a",3,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","blue","red","c"
"e",91,0,"d","a",3,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","blue","red","b"
"d",4,0,"d","a",0,3,5,"b","a","b","b","b","b","a","red",1,0,"a",0,1,"a","a","b","a","a","red","red","f"
"c",268,1,"k","f",0,3,3,"a","b","b","b","a","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","blue","d"
"e",10,1,"b","f",0,5,4,"b","b","b","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"b",108,17,"e","g",0,3,3,"b","a","a","b","a","b","a","gold",0,0,"a",0,0,"a","a","b","a","a","black","gold","c"
"b",249,61,"e","b",0,3,3,"b","a","a","b","a","b","a","black",0,0,"a",0,0,"a","a","a","a","a","black","gold","c"
"e",239,14,"b","f",0,3,4,"b","b","a","b","a","b","a","red",0,0,"a",0,1,"a","a","a","a","a","red","green","d"
"e",0,0,"b","b",0,1,3,"b","a","a","b","b","a","a","white",0,0,"a",0,0,"a","a","b","a","a","white","red","c"
"b",132,10,"g","b",0,9,2,"a","a","b","a","b","a","a","blue",0,1,"a",1,0,"a","a","a","a","a","blue","blue","c"
"e",2176,0,"g","b",0,0,2,"b","a","a","a","b","a","a","white",1,0,"a",0,0,"a","a","a","a","a","white","red","a"
"e",0,0,"b","b",0,0,3,"b","b","a","b","a","a","a","gold",1,0,"a",0,7,"a","b","a","b","a","red","red","a"
"b",0,0,"b","b",0,0,7,"b","b","b","b","b","a","b","blue",0,0,"a",0,0,"a","a","b","b","b","red","red","f"
"e",109,8,"c","a",3,0,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"e",246,6,"d","c",3,0,3,"b","b","a","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"e",36,1,"g","f",1,2,4,"b","b","a","b","a","b","a","gold",0,0,"a",0,1,"a","a","a","a","a","red","green","d"
"e",215,1,"b","e",0,0,5,"b","b","a","b","b","b","a","green",0,0,"a",0,0,"a","b","a","a","a","black","green","b"
"e",28,6,"d","a",2,0,2,"b","a","a","a","a","b","a","black",0,0,"a",0,0,"a","a","a","a","a","black","red","a"
"e",112,4,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,5,"a","a","a","a","a","blue","blue","a"
"b",1,5,"h","d",0,0,6,"b","b","b","b","b","a","b","blue",1,1,"b",1,0,"a","a","b","b","b","white","blue","e"
"b",93,11,"j","g",0,3,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","c"
"e",103,0,"g","b",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"a",0,0,"a","a","a","a","a","blue","blue","c"
"b",3268,684,"g","e",0,3,4,"a","b","b","a","b","a","b","orange",1,0,"a",0,0,"a","a","b","a","a","orange","green","e"
"c",1904,157,"k","c",0,2,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","white","f"
"b",1648,39,"g","c",0,3,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"a","a","b","a","b","green","red","e"
"b",435,14,"i","c",0,3,4,"b","b","a","a","b","b","a","red",0,0,"a",0,3,"a","a","a","a","a","red","black","e"
"e",70,3,"b","a",3,0,3,"a","b","a","a","b","a","b","white",0,0,"a",0,0,"a","a","a","a","a","green","orange","c"
"b",21,4,"k","h",0,2,2,"a","a","b","a","b","a","a","white",0,0,"a",0,1,"a","a","a","a","a","blue","blue","e"
"b",301,57,"g","a",3,0,3,"b","b","a","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","green","red","c"
"e",323,7,"d","f",3,0,3,"b","b","a","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"e",11,2,"b","b",0,0,3,"a","b","a","b","a","b","a","green",0,0,"b",0,0,"a","b","a","a","a","gold","gold","a"
"b",372,118,"j","h",0,0,2,"b","a","a","a","b","a","a","white",1,0,"a",0,1,"a","a","a","a","a","white","white","e"
"b",98,2,"i","c",0,3,4,"b","b","a","a","b","b","a","black",0,0,"a",0,1,"a","b","a","a","a","black","green","e"
"b",181,6,"k","d",0,0,2,"b","a","a","b","a","a","a","red",0,0,"a",0,0,"a","a","b","a","a","red","red","e"
"b",583,17,"k","f",0,5,4,"b","b","a","a","b","b","a","red",1,0,"a",0,0,"a","a","b","a","a","black","green","d"
"b",0,0,"b","b",0,0,4,"b","a","b","b","b","a","a","red",0,0,"a",0,1,"a","a","b","b","a","red","blue","f"
"b",18,2,"i","c",0,3,4,"b","b","a","a","b","b","a","green",0,0,"a",0,0,"a","a","a","a","a","green","red","e"
"b",236,3,"k","g",0,3,3,"b","a","b","a","b","a","a","red",1,0,"a",0,0,"a","a","a","a","a","red","red","e"
"b",10,3,"i","c",0,2,4,"b","b","a","a","b","a","b","red",0,0,"a",0,0,"a","a","a","b","a","red","red","e"
"c",30,1,"k","f",2,0,4,"b","b","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","b","a","a","green","blue","d"
"e",111,1,"k","f",0,11,3,"b","a","b","a","b","a","a","red",0,0,"a",1,1,"a","a","a","a","a","blue","red","d"
"b",1760,3,"i","c",0,0,1,"a","b","a","a","a","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","green","d"
"b",0,0,"e","a",0,2,3,"b","a","b","b","a","a","a","red",0,0,"a",0,0,"a","a","b","a","a","blue","red","c"
"b",3,0,"e","a",0,3,3,"b","a","b","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","blue","c"
"c",587,9,"k","b",1,2,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","white","green","d"
"c",118,6,"k","f",0,3,3,"b","b","a","a","a","b","a","red",0,0,"a",0,1,"a","a","a","a","a","black","green","d"
"b",333,13,"k","c",0,14,4,"b","a","b","b","b","a","a","red",0,0,"a",1,1,"b","a","a","a","a","blue","white","e"
"b",0,0,"k","c",0,0,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"b","a","a","a","a","red","red","e"
"e",1240,7,"d","c",3,0,3,"b","b","a","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","green","red","d"
"b",0,0,"k","a",2,0,3,"b","a","a","a","b","b","a","red",0,1,"a",0,0,"a","a","b","a","a","white","red","c"
"b",0,0,"k","b",0,0,3,"a","a","b","a","b","a","a","blue",0,0,"a",0,1,"a","a","b","a","a","blue","blue","f"
"e",1031,2,"i","c",0,0,2,"a","b","a","b","a","a","a","green",0,0,"a",0,1,"b","a","a","a","a","green","green","d"
"c",2,1,"b","e",0,4,4,"b","b","b","b","a","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"e",1973,77,"c","a",3,0,4,"b","b","a","a","b","a","b","green",0,0,"a",0,0,"a","a","a","b","a","green","red","a"
"b",1,0,"k","b",0,0,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,4,"a","a","a","a","a","blue","blue","f"
"b",0,0,"d","a",0,2,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","white","c"
"b",1566,2,"k","g",3,0,3,"b","a","b","b","a","a","a","red",2,0,"a",0,1,"b","b","b","a","a","red","red","e"
"e",0,0,"b","b",0,0,7,"b","b","b","b","b","b","a","blue",0,2,"b",1,0,"a","a","b","b","a","white","blue","a"
"e",447,20,"i","c",0,0,2,"b","b","a","a","a","a","a","red",0,0,"a",0,1,"a","a","a","a","a","red","red","d"
"c",783,12,"k","f",0,5,5,"b","b","a","b","b","b","a","gold",0,0,"a",0,1,"a","b","b","a","a","green","gold","d"
"c",0,0,"k","b",0,3,3,"a","a","b","b","b","a","a","blue",0,0,"a",0,1,"a","a","a","a","a","blue","blue","f"
"b",140,16,"k","e",0,0,3,"a","a","b","a","b","a","b","brown",0,0,"a",0,2,"b","a","a","a","a","blue","blue","e"
"b",41,14,"g","b",0,3,3,"b","a","b","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","blue","c"
"e",0,0,"g","b",0,1,3,"b","a","b","a","b","a","a","white",0,0,"a",0,6,"a","a","a","a","a","white","white","a"
"c",268,2,"b","b",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"b",1,4,"a","a","a","a","a","white","blue","f"
"e",128,3,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"b",1267,5,"d","c",0,3,3,"a","b","a","a","b","a","b","orange",1,0,"a",0,0,"a","a","a","a","a","orange","green","d"
"b",925,56,"k","c",3,0,2,"a","b","a","a","b","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","green","d"
"d",0,0,"b","b",0,0,4,"b","a","b","b","b","a","a","gold",1,1,"b",1,5,"a","a","a","a","a","white","gold","f"
"b",121,18,"k","g",0,5,3,"b","a","b","a","b","a","a","blue",1,0,"a",0,1,"a","a","a","a","a","blue","blue","e"
"b",195,9,"i","c",0,3,4,"b","b","a","a","b","b","a","red",0,0,"a",0,1,"a","a","a","a","a","red","black","e"
"b",324,4,"g","b",0,0,3,"b","a","b","a","b","a","a","red",0,1,"a",0,0,"a","a","a","a","a","red","red","c"
"b",212,1,"i","c",0,2,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"a","a","b","a","a","red","green","e"
"b",804,84,"g","c",1,0,2,"a","b","a","a","b","a","a","green",0,0,"a",0,1,"b","a","a","a","a","white","green","e"
"e",76,2,"c","a",0,0,3,"b","a","b","a","b","a","a","red",0,0,"a",4,2,"a","a","a","a","a","white","white","b"
"c",463,3,"b","f",0,0,4,"b","a","a","b","b","b","a","black",0,0,"a",0,5,"a","b","a","b","a","red","black","f"
"d",407,3,"c","a",0,3,6,"b","b","b","b","b","b","a","red",1,0,"a",0,1,"a","a","b","b","b","red","blue","b"
"d",1285,14,"c","a",3,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","red","b"
"b",300,48,"k","a",0,0,4,"b","a","b","b","b","a","a","blue",0,0,"a",0,4,"a","b","a","a","a","blue","red","f"
"b",313,36,"f","g",0,2,2,"b","a","a","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","white","red","c"
"e",92,10,"g","a",0,0,5,"b","b","b","b","b","a","a","red",1,0,"a",0,0,"a","a","b","a","a","green","red","c"
"e",9,3,"c","a",0,5,3,"b","a","b","a","b","a","a","red",0,0,"a",0,1,"a","b","a","a","a","red","red","a"
"b",11,0,"i","c",0,0,2,"a","a","a","a","b","a","b","brown",0,0,"a",0,0,"a","a","a","a","a","white","brown","e"
"b",237,22,"g","g",3,0,7,"b","b","b","b","b","a","b","red",0,0,"a",0,2,"a","a","b","b","b","blue","red","c"
"c",26,5,"k","f",3,0,4,"b","b","a","b","a","b","a","red",0,0,"a",0,0,"a","a","a","a","b","red","green","d"
"b",0,0,"g","a",0,2,2,"a","a","b","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","white","blue","c"
"b",0,0,"g","a",0,3,4,"b","b","a","b","a","b","a","green",0,0,"a",0,2,"a","b","a","a","a","green","green","d"
"b",2150,9,"i","c",0,0,2,"a","b","a","a","b","a","a","green",0,0,"a",0,0,"a","a","b","a","b","green","green","e"
"e",196,6,"d","c",3,0,3,"b","b","a","b","a","a","a","green",0,0,"a",0,1,"a","a","a","a","a","green","red","d"
"c",0,0,"b","b",0,0,3,"b","b","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"e",72,3,"b","f",0,3,3,"a","b","b","a","b","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","blue","d"
"b",1,3,"h","d",0,2,2,"b","a","a","a","b","a","a","white",0,0,"a",0,5,"b","a","a","a","a","red","white","e"
"c",30,0,"b","b",0,0,4,"a","b","b","b","b","a","a","green",0,0,"a",0,5,"a","b","a","a","a","blue","green","f"
"b",637,5,"k","c",0,0,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,1,"a","a","a","a","a","blue","blue","d"
"c",1221,29,"g","b",0,3,5,"b","b","b","a","b","a","b","orange",0,1,"b",0,0,"a","a","a","a","a","orange","blue","d"
"b",99,39,"k","h",0,0,4,"b","a","b","a","b","b","a","white",1,0,"a",0,0,"a","a","b","a","a","white","white","e"
"b",288,2,"i","c",0,3,4,"b","a","b","a","b","b","a","red",0,0,"a",0,1,"a","b","a","a","a","red","black","e"
"e",505,38,"c","a",0,3,2,"b","a","a","b","a","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","red","c"
"b",66,15,"k","d",2,0,4,"a","b","a","b","a","a","b","gold",0,0,"a",0,0,"a","a","b","b","a","gold","gold","e"
"d",0,0,"b","b",0,0,7,"b","b","b","b","b","a","b","blue",0,1,"b",1,0,"a","a","b","a","a","white","blue","d"
"e",0,0,"b","b",0,0,5,"b","b","a","b","b","b","a","green",0,0,"a",0,2,"a","b","a","a","a","green","red","a"
"e",0,0,"b","b",0,0,4,"a","a","b","b","b","b","a","blue",0,0,"a",0,0,"a","b","a","a","a","blue","blue","a"
"e",0,0,"b","b",5,0,4,"a","b","b","b","b","a","a","green",0,0,"a",0,0,"a","a","b","b","b","blue","green","a"
"b",2506,20,"i","c",0,3,4,"b","b","a","a","b","b","a","red",0,0,"a",0,0,"a","b","a","a","a","red","black","d"
"e",63,0,"g","b",0,5,4,"b","b","a","b","b","a","a","red",0,0,"a",0,1,"a","a","a","a","a","green","green","b"
"c",17,1,"k","b",0,5,7,"b","a","b","b","b","b","b","blue",0,0,"a",0,0,"a","a","b","a","a","blue","blue","d"
"b",450,8,"g","b",0,0,2,"a","a","b","b","a","a","a","blue",0,1,"a",0,0,"a","a","a","a","a","blue","blue","c"
"b",41,6,"e","b",0,0,2,"b","a","a","a","b","a","a","red",0,1,"a",0,0,"a","a","a","a","a","red","red","c"
"b",185,10,"i","c",0,3,4,"b","b","a","a","b","b","a","red",0,0,"a",0,2,"a","a","a","a","a","red","black","e"
"b",36,18,"h","d",0,0,3,"b","a","b","a","b","a","a","red",1,0,"a",1,1,"a","a","a","a","a","blue","red","e"
"c",945,18,"k","f",0,0,4,"a","b","b","b","a","b","a","green",0,0,"a",0,0,"a","b","a","a","a","green","blue","d"
"b",514,49,"k","d",0,5,3,"b","a","b","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","red","e"
"b",57,2,"d","h",0,5,4,"b","b","a","b","b","a","a","green",0,0,"a",1,1,"a","a","a","a","a","red","green","d"
"c",1,0,"k","b",0,0,2,"b","a","a","a","b","a","a","red",0,1,"a",1,0,"a","a","a","a","a","white","red","f"
"e",5,1,"b","b",0,0,3,"b","a","a","a","b","b","a","red",0,0,"a",0,0,"a","b","a","a","a","white","white","b"
"b",164,7,"i","c",0,0,2,"b","a","a","a","b","a","a","red",1,0,"a",0,1,"b","a","a","a","a","red","red","d"
"b",781,45,"j","c",0,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,1,"b","a","a","a","a","red","red","e"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","b","blue",0,1,"b",1,0,"a","a","b","b","a","white","blue","a"
"c",0,0,"b","b",0,0,5,"b","a","b","b","b","a","a","blue",0,1,"b",1,9,"a","a","a","a","a","white","blue","f"
"b",84,1,"i","c",1,3,4,"b","b","a","a","b","b","a","green",0,0,"a",0,0,"a","a","a","a","a","red","black","e"
"b",236,13,"k","f",0,6,5,"b","a","a","b","b","b","a","gold",1,0,"a",0,0,"a","a","a","b","a","black","red","d"
"e",245,56,"b","b",0,0,3,"b","a","b","a","b","a","a","red",0,1,"b",0,0,"a","a","a","a","a","white","red","c"
"d",178,3,"c","a",0,9,3,"a","a","b","b","b","a","a","white",0,0,"a",1,1,"a","a","a","a","a","white","white","b"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","a","white",0,0,"a",0,0,"a","a","b","b","b","white","white","a"
"e",9363,231,"b","b",0,13,3,"b","a","b","a","b","a","a","white",0,0,"a",1,50,"a","a","a","a","a","blue","red","a"
"b",22402,274,"f","g",0,0,2,"b","a","a","b","a","a","a","red",0,0,"a",0,1,"a","a","b","a","a","red","red","e"
"c",15,0,"g","b",0,0,4,"b","b","a","b","a","b","a","red",0,0,"a",0,0,"a","b","a","b","a","black","green","f"
"b",0,0,"g","a",2,0,4,"b","a","a","b","b","b","a","gold",0,0,"a",0,0,"a","a","b","a","a","gold","white","c"
"e",912,15,"c","a",0,3,7,"b","b","b","b","b","b","b","red",0,0,"a",0,7,"a","a","b","b","a","gold","red","b"
"b",333,60,"k","g",0,0,2,"b","a","a","b","a","a","a","red",0,0,"a",0,1,"a","a","a","a","a","red","red","e"
"d",3,0,"b","b",0,0,3,"b","a","b","a","b","a","a","red",0,0,"a",1,5,"a","a","a","a","a","blue","red","f"
"b",256,22,"g","g",0,3,4,"b","a","b","b","b","a","a","red",0,0,"a",0,1,"a","a","a","a","a","blue","red","c"
"c",905,28,"k","f",0,0,4,"b","b","a","b","a","a","b","green",1,0,"a",0,0,"a","a","b","b","a","green","green","d"
"c",753,6,"k","f",3,0,4,"b","b","a","a","a","b","b","green",0,0,"a",0,0,"a","a","a","b","a","green","brown","d"
"c",391,8,"k","f",0,7,5,"b","b","a","b","b","b","a","green",0,0,"a",0,1,"a","b","b","b","a","green","green","d"
