zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,crosses,saltires,quarters,sunstars,cresecent,triangle,icon,animate,text,topleft,botright,landmass
0,648,16,9,2,0,3,5,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,4,4
0,29,3,5,6,0,0,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,0,1,0,5,6,2
0,2388,20,7,2,2,0,3,1,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,3,7,3
2,0,0,0,1,0,0,5,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
0,0,0,5,0,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,2
1,1247,7,9,5,0,2,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,1,0,0,5,0,3
3,0,0,0,1,0,1,3,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,6,1,0
3,0,0,0,1,0,1,5,1,0,1,1,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,6,0
2,2777,28,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
2,2777,28,1,0,0,3,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1,7690,15,0,1,0,0,3,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,1,5
0,84,8,3,0,0,3,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2
3,19,0,0,1,0,3,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,1,0,7,2,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,4
0,143,90,5,2,0,0,2,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,4,4
3,0,0,0,1,3,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
0,31,10,5,0,3,0,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2
3,23,0,0,1,0,2,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,5,6,0
0,113,3,2,5,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,6,1,1,1,1,0,0,0,1,1,0,6,6,0
0,47,1,9,3,0,0,4,1,0,0,0,1,1,1,5,4,0,0,0,0,0,0,0,1,0,4,6,4
2,1099,6,1,0,0,3,3,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
1,600,1,9,5,0,5,3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3
2,8512,119,5,0,0,0,4,0,1,1,1,1,0,0,4,1,0,0,0,22,0,0,0,0,1,3,4,1
3,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,0
0,6,0,9,2,0,0,4,1,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,6,3,4
0,111,9,4,6,0,3,5,1,1,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,6,6,2
3,274,7,2,5,0,2,3,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
0,678,35,9,3,0,0,3,1,0,1,0,1,0,0,6,0,0,0,1,14,0,0,1,1,0,1,6,4
1,28,4,9,5,0,0,3,1,1,0,0,1,0,0,6,1,0,1,0,3,0,0,0,0,0,6,7,3
0,474,8,2,1,3,0,3,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,3
3,9976,24,0,1,2,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,0
3,4,0,5,0,1,2,5,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,5,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,6,1,0
0,623,2,9,5,1,0,5,1,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,3
0,1284,4,2,5,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,3
2,757,11,1,0,0,2,3,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,1
0,9561,1008,6,6,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,5,6,4
3,1139,28,1,0,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
1,2,0,2,2,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,4,1,0,0,0,0,3,4,3
1,342,2,9,5,0,0,3,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,1,1,0,5,6,3
2,0,0,0,1,0,0,4,1,0,1,0,1,0,0,1,1,1,1,1,15,0,0,0,0,0,6,1,5
3,51,2,1,0,0,5,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3,115,10,1,6,0,5,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
0,9,1,5,1,0,0,3,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,0,6,7,2
0,128,15,4,6,0,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,6,6,2
0,43,5,5,1,0,0,2,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
0,22,0,2,2,0,0,4,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,4,1,0,0,0,10,0,0,0,1,0,3,4,0
3,49,6,1,0,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2,284,8,1,0,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
0,1001,47,7,2,0,3,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3
3,21,5,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,28,0,9,5,0,3,4,1,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,3,6,3
0,1222,31,9,1,0,3,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3
3,1,0,5,1,0,0,3,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
2,12,0,0,1,0,0,6,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
1,18,1,0,1,0,0,7,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,6,1,5
0,337,5,8,1,0,0,2,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
0,547,54,2,0,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,2
3,91,0,2,0,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,1
2,4,0,2,0,0,3,5,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
1,268,1,9,5,0,3,3,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,3
3,10,1,0,5,0,5,4,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
0,108,17,3,6,0,3,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2
0,249,61,3,1,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
3,239,14,0,5,0,3,4,1,1,0,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
3,0,0,0,1,0,1,3,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,2
0,132,10,5,1,0,9,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2
3,2176,0,5,1,0,0,2,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,6,6,0
3,0,0,0,1,0,0,3,1,1,0,1,0,0,0,3,1,0,0,0,7,0,1,0,1,0,5,6,0
0,0,0,0,1,0,0,7,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,5,6,5
3,109,8,1,0,3,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3,246,6,2,2,3,0,3,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,3
3,36,1,5,5,1,2,4,1,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,5,4,3
3,215,1,0,4,0,0,5,1,1,0,1,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,4,1
3,28,6,2,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
3,112,4,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0
0,1,5,6,3,0,0,6,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,6,1,4
0,93,11,8,6,0,3,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,2
3,103,0,5,1,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
0,3268,684,5,4,0,3,4,0,1,1,0,1,0,1,5,1,0,0,0,0,0,0,1,0,0,4,4,4
1,1904,157,9,2,0,2,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,5
0,1648,39,5,2,0,3,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,3,6,4
0,435,14,7,2,0,3,4,1,1,0,0,1,1,0,6,0,0,0,0,3,0,0,0,0,0,5,0,4
3,70,3,0,0,3,0,3,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,5,2
0,21,4,9,7,0,2,2,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,1,4
0,301,57,5,0,3,0,3,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,3,6,2
3,323,7,2,5,3,0,3,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,4,3
3,11,2,0,1,0,0,3,0,1,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,2,3,0
0,372,118,8,7,0,0,2,1,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,6,7,4
0,98,2,7,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,4
0,181,6,9,3,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,5,6,4
0,583,17,9,5,0,5,4,1,1,0,0,1,1,0,6,1,0,0,0,0,0,0,1,0,0,0,4,3
0,0,0,0,1,0,0,4,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,5
0,18,2,7,2,0,3,4,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,3,6,4
0,236,3,9,6,0,3,3,1,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,5,6,4
0,10,3,7,2,0,2,4,1,1,0,0,1,0,1,6,0,0,0,0,0,0,0,0,1,0,5,6,4
1,30,1,9,5,2,0,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,3
3,111,1,9,5,0,11,3,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,3
0,1760,3,7,2,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3
0,0,0,3,0,0,2,3,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,6,2
0,3,0,3,0,0,3,3,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
1,587,9,9,1,1,2,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,3
1,118,6,9,5,0,3,3,1,1,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,4,3
0,333,13,9,2,0,14,4,1,0,1,1,1,0,0,6,0,0,0,1,1,1,0,0,0,0,1,7,4
0,0,0,9,2,0,0,3,1,1,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,5,6,4
3,1240,7,2,2,3,0,3,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,3
0,0,0,9,0,2,0,3,1,0,0,0,1,1,0,6,0,1,0,0,0,0,0,1,0,0,6,6,2
0,0,0,9,1,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
3,1031,2,7,2,0,0,2,0,1,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,3,4,3
1,2,1,0,4,0,4,4,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
3,1973,77,1,0,3,0,4,1,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,3,6,0
0,1,0,9,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,5
0,0,0,2,0,0,2,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,2
0,1566,2,9,6,3,0,3,1,0,1,1,0,0,0,6,2,0,0,0,1,1,1,1,0,0,5,6,4
3,0,0,0,1,0,0,7,1,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0,6,1,0
3,447,20,7,2,0,0,2,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,6,3
1,783,12,9,5,0,5,5,1,1,0,1,1,1,0,3,0,0,0,0,1,0,1,1,0,0,3,3,3
1,0,0,9,1,0,3,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,5
0,140,16,9,4,0,0,3,0,0,1,0,1,0,1,2,0,0,0,0,2,1,0,0,0,0,1,1,4
0,41,14,5,1,0,3,3,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
3,0,0,5,1,0,1,3,1,0,1,0,1,0,0,7,0,0,0,0,6,0,0,0,0,0,6,7,0
1,268,2,0,1,0,0,3,1,0,1,0,1,0,0,1,0,1,1,1,4,0,0,0,0,0,6,1,5
3,128,3,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,1267,5,2,2,0,3,3,0,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,4,4,3
0,925,56,9,2,3,0,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,3
2,0,0,0,1,0,0,4,1,0,1,1,1,0,0,3,1,1,1,1,5,0,0,0,0,0,6,3,5
0,121,18,9,6,0,5,3,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,4
0,195,9,7,2,0,3,4,1,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,5,0,4
0,324,4,5,1,0,0,3,1,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
0,212,1,7,2,0,2,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,5,4,4
0,804,84,5,2,1,0,2,0,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,6,4,4
3,76,2,1,0,0,0,3,1,0,1,0,1,0,0,6,0,0,0,4,2,0,0,0,0,0,6,7,1
1,463,3,0,5,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,0,5
2,407,3,1,0,0,3,6,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
2,1285,14,1,0,3,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,1
0,300,48,9,0,0,0,4,1,0,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,6,5
0,313,36,4,6,0,2,2,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,2
3,92,10,5,0,0,0,5,1,1,1,1,1,0,0,6,1,0,0,0,0,0,0,1,0,0,3,6,2
3,9,3,1,0,0,5,3,1,0,1,0,1,0,0,6,0,0,0,0,1,0,1,0,0,0,5,6,0
0,11,0,7,2,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,6,2,4
0,237,22,5,6,3,0,7,1,1,1,1,1,0,1,6,0,0,0,0,2,0,0,1,1,1,1,6,2
1,26,5,9,5,3,0,4,1,1,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,1,5,4,3
0,0,0,5,0,0,2,2,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,2
0,0,0,5,0,0,3,4,1,1,0,1,0,1,0,4,0,0,0,0,2,0,1,0,0,0,3,4,3
0,2150,9,7,2,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,3,4,4
3,196,6,2,2,3,0,3,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,6,3
1,0,0,0,1,0,0,3,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
3,72,3,0,5,0,3,3,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,3
0,1,3,6,3,0,2,2,1,0,0,0,1,0,0,7,0,0,0,0,5,1,0,0,0,0,5,7,4
1,30,0,0,1,0,0,4,0,1,1,1,1,0,0,4,0,0,0,0,5,0,1,0,0,0,1,4,5
0,637,5,9,2,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3
1,1221,29,5,1,0,3,5,1,1,1,0,1,0,1,5,0,1,1,0,0,0,0,0,0,0,4,1,3
0,99,39,9,7,0,0,4,1,0,1,0,1,1,0,7,1,0,0,0,0,0,0,1,0,0,6,7,4
0,288,2,7,2,0,3,4,1,0,1,0,1,1,0,6,0,0,0,0,1,0,1,0,0,0,5,0,4
3,505,38,1,0,0,3,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2
0,66,15,9,3,2,0,4,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,2,3,4
2,0,0,0,1,0,0,7,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,6,1,3
3,0,0,0,1,0,0,5,1,1,0,1,1,1,0,4,0,0,0,0,2,0,1,0,0,0,3,6,0
3,0,0,0,1,0,0,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
3,0,0,0,1,5,0,4,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,4,0
0,2506,20,7,2,0,3,4,1,1,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,5,0,3
3,63,0,5,1,0,5,4,1,1,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,4,1
1,17,1,9,1,0,5,7,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3
0,450,8,5,1,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
0,41,6,3,1,0,0,2,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
0,185,10,7,2,0,3,4,1,1,0,0,1,1,0,6,0,0,0,0,2,0,0,0,0,0,5,0,4
0,36,18,6,3,0,0,3,1,0,1,0,1,0,0,6,1,0,0,1,1,0,0,0,0,0,1,6,4
1,945,18,9,5,0,0,4,0,1,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,3,1,3
0,514,49,9,3,0,5,3,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,4
0,57,2,2,7,0,5,4,1,1,0,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,5,4,3
1,1,0,9,1,0,0,2,1,0,0,0,1,0,0,6,0,1,0,1,0,0,0,0,0,0,6,6,5
3,5,1,0,1,0,0,3,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
0,164,7,7,2,0,0,2,1,0,0,0,1,0,0,6,1,0,0,0,1,1,0,0,0,0,5,6,3
0,781,45,8,2,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,5,6,4
3,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,6,1,0
1,0,0,0,1,0,0,5,1,0,1,1,1,0,0,1,0,1,1,1,9,0,0,0,0,0,6,1,5
0,84,1,7,2,1,3,4,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4
0,236,13,9,5,0,6,5,1,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,6,3
3,245,56,0,1,0,0,3,1,0,1,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,6,6,2
2,178,3,1,0,0,9,3,0,0,1,1,1,0,0,7,0,0,0,1,1,0,0,0,0,0,6,7,1
3,0,0,0,1,0,0,6,1,1,1,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,6,7,0
3,9363,231,0,1,0,13,3,1,0,1,0,1,0,0,7,0,0,0,1,50,0,0,0,0,0,1,6,0
0,22402,274,4,6,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,0,0,5,6,4
1,15,0,5,1,0,0,4,1,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,4,5
0,0,0,5,0,2,0,4,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,2,7,2
3,912,15,1,0,0,3,7,1,1,1,1,1,1,1,6,0,0,0,0,7,0,0,1,1,0,2,6,1
0,333,60,9,6,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,6,4
2,3,0,0,1,0,0,3,1,0,1,0,1,0,0,6,0,0,0,1,5,0,0,0,0,0,1,6,5
0,256,22,5,6,0,3,4,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,6,2
1,905,28,9,5,0,0,4,1,1,0,1,0,0,1,4,1,0,0,0,0,0,0,1,1,0,3,4,3
1,753,6,9,5,3,0,4,1,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,3,2,3
1,391,8,9,5,0,7,5,1,1,0,1,1,1,0,4,0,0,0,0,1,0,1,1,1,0,3,4,3
